categoryCode,category
BAKING,Baking
BEVERAGES,Beverages
BAKING,Baking
BAKING,Baking
CANDY_AND_SWEETS,Candy & Sweets
BAKING,Baking
BAKING,Baking
,Condiments & Sauces
,Canned Goods & Soups
,Baking
BAKING,Baking
,
,Baking
,Magazines
,Breakfast & Cereal
,Beer Wine Spirits
HEALTHY_AND_WELLNESS,Health & Wellness
BAKING,Baking
BAKING,Baking
,Beauty
,Baby
HEALTHY_AND_WELLNESS,Health & Wellness
,Condiments & Sauces
,
,
BAKING,Baking
,Frozen
,Magazines
BAKING,Baking
BAKING,Baking
,Grocery
BAKING,Baking
,Breakfast & Cereal
BAKING,Baking
,
,Baking
,Snacks
BAKING,Baking
BAKING,Baking
BAKING,Baking
,Household
,Beverages
,Beverages
,
,Magazines
,Magazines
,
BAKING,Baking
,Beer Wine Spirits
,
,Beverages
,Frozen
,Personal Care
,Personal Care
BAKING,Baking
,
,
BAKING,Baking
,Grocery
CANDY_AND_SWEETS,Candy & Sweets
,Canned Goods & Soups
,
BAKING,Baking
,Frozen
,Health & Wellness
,Snacks
,Canned Goods & Soups
BAKING,Baking
GROCERY,Grocery
,Beer Wine Spirits
BAKING,Baking
HEALTHY_AND_WELLNESS,Health & Wellness
,Breakfast & Cereal
BAKING,Baking
,Snacks
BAKING,Baking
,Snacks
,
,Condiments & Sauces
BAKING,Baking
,
,Beer Wine Spirits
,Beer Wine Spirits
,
,Snacks
CANDY_AND_SWEETS,Candy & Sweets
,Condiments & Sauces
,Frozen
,Beverages
,Snacks
BAKING,Baking
BAKING,Baking
,Dairy
,Snacks
CANDY_AND_SWEETS,Candy & Sweets
,
BAKING,Baking
,Frozen
BAKING,Baking
,
,Canned Goods & Soups
,Condiments & Sauces
BAKING,Baking
BAKING,Baking
,
,Snacks
,Beverages
BAKING,Baking
,Dairy
,Snacks
,Snacks
,Condiments & Sauces
BAKING,Baking
,
,
,Snacks
,Condiments & Sauces
,
,
BAKING,Baking
,Beverages
,Health & Wellness
,Beauty
CANDY_AND_SWEETS,Candy & Sweets
,Baking
BAKING,Baking
,Baby
BAKING,Baking
,Beverages
,Beverages
,
,Condiments & Sauces
,Frozen
,Frozen
,Health & Wellness
,
,Baking
,Health & Wellness
,Snacks
PERSONAL_CARE,Personal Care
,Beverages
,Beverages
PERSONAL_CARE,Personal Care
,Magazines
BAKING,Baking
CLEANING_AND_HOME_IMPROVEMENT,Cleaning & Home Improvement
,
,
CANDY_AND_SWEETS,Candy & Sweets
,Magazines
,Beauty
,
