createDate,dateScanned,finishedDate,modifyDate,userId,id,transactionId
2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:36,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,0
2021-01-03 15:24:43,2021-01-03 15:24:43,2021-01-03 15:24:43,2021-01-03 15:24:48,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,1
2021-01-03 15:25:37,2021-01-03 15:25:37,,2021-01-03 15:25:42,5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,2
2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:34,2021-01-03 15:25:39,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,3
2021-01-03 15:25:06,2021-01-03 15:25:06,2021-01-03 15:25:11,2021-01-03 15:25:11,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,4
2021-01-03 15:25:24,2021-01-03 15:25:24,2021-01-03 15:25:25,2021-01-03 15:25:30,5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,5
2021-01-03 15:25:01,2021-01-03 15:25:01,2021-01-03 15:25:02,2021-01-03 15:25:02,5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,6
2021-01-03 15:24:20,2021-01-03 15:24:20,2021-01-03 15:24:21,2021-01-03 15:24:21,5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,7
2021-01-03 15:25:33,2021-01-03 15:25:33,2021-01-03 15:25:34,2021-01-03 15:25:38,5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,8
2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:31,2021-01-03 15:25:36,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,9
2021-01-03 15:24:53,2021-01-03 15:24:53,2021-01-03 15:24:53,2021-01-03 15:24:53,5ff1e194b6a9d73a3a9f1052,5ff1e1c50a720f052300056c,10
2021-01-03 15:24:17,2021-01-03 15:24:17,2021-01-03 15:39:20,2021-01-03 15:39:20,5ff1e194b6a9d73a3a9f1052,5ff1e1a10a720f0523000568,11
2021-01-03 15:24:38,2021-01-03 15:24:38,,2021-01-03 15:24:38,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,12
2020-10-30 20:17:59,2020-10-30 20:17:59,,2021-01-03 15:24:54,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,13
2021-01-03 15:24:34,2021-01-03 15:24:34,2021-01-03 15:24:35,2021-01-03 15:24:35,5ff1e194b6a9d73a3a9f1052,5ff1e1b20a7214ada100055a,14
2021-01-03 15:25:29,2021-01-03 15:25:29,,2021-01-03 15:25:29,5ff1e1e9b6a9d73a3a9f10f6,5ff1e1e90a7214ada1000569,15
2021-01-03 15:25:19,2021-01-03 15:25:19,2021-01-03 15:25:20,2021-01-03 15:25:25,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,16
