id,transactionItemId,receiptId,originalReceiptItemText,itemNumber,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,competitorRewardsGroup,pointsEarned
0,0,5ff1e1eb0a720f0523000575,,,,,,,,
1,1,5ff1e1bb0a720f052300056b,,,,,,,,
2,2,5ff1e1bb0a720f052300056b,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,
3,3,5ff1e1f10a720f052300057a,,,,,,,,
4,4,5ff1e1ee0a7214ada100056f,,,,,,,,
5,5,5ff1e1d20a7214ada1000561,,,,,,,,
6,6,5ff1e1d20a7214ada1000561,,,,,,,,
7,7,5ff1e1e40a7214ada1000566,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,
8,8,5ff1e1cd0a720f052300056f,MSSN TORTLLA,,,,,,TACO BELL TACO SHELLS,
9,9,5ff1e1a40a720f0523000569,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,,
10,10,5ff1e1ed0a7214ada100056e,,,,,,,,
11,11,5ff1e1eb0a7214ada100056b,,,,,,,,
12,12,5ff1e1c50a720f052300056c,,,,,,,,
13,13,5ff1e1a10a720f0523000568,,013562300631,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,,
14,14,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
15,15,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
16,16,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
17,17,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
18,18,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
19,19,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
20,20,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
21,21,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
22,22,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
23,23,5ff1e1b60a7214ada100055c,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,870.0
24,24,5f9c74f70a7214ad07000037,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,,
25,25,5f9c74f70a7214ad07000037,,,,,,,,
26,26,5f9c74f70a7214ad07000037,,,,,,,,
27,27,5f9c74f70a7214ad07000037,,,,,,,,
28,28,5f9c74f70a7214ad07000037,,,,,,,,
29,29,5f9c74f70a7214ad07000037,,,,,,,,
30,30,5f9c74f70a7214ad07000037,,,,,,,,
31,31,5f9c74f70a7214ad07000037,,,,,,,,
32,32,5f9c74f70a7214ad07000037,,,,,,,,
33,33,5f9c74f70a7214ad07000037,,,,,,,,
34,34,5f9c74f70a7214ad07000037,,,,,,,,
35,35,5ff1e1b20a7214ada100055a,,,,,,,,
36,36,5ff1e1e90a7214ada1000569,,,,,,,,
37,37,5ff1e1e90a7214ada1000569,,,,,,,,
38,38,5ff1e1df0a7214ada1000564,,,,,,,,
39,39,5ff1e1df0a7214ada1000564,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,,
40,40,5ff1e1b40a7214ada100055b,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,
41,41,5ff1e1b40a7214ada100055b,,,,,,,,
42,42,5ff1e1b40a7214ada100055b,,,,,,,,
43,43,5ff1e1b40a7214ada100055b,,,,,,,,
44,44,5ff1e1b40a7214ada100055b,,,,,,,,
45,45,5ff1e1b40a7214ada100055b,,,,,,,,
46,46,5ff1e1b40a7214ada100055b,,,,,,,,
47,47,5ff1e1b40a7214ada100055b,,,,,,,,
48,48,5ff1e1b40a7214ada100055b,,,,,,,,
49,49,5ff1e1b40a7214ada100055b,,,,,,,,
50,50,5ff1e1b40a7214ada100055b,,,,,,,,
51,51,5ff1e1eb0a720f0523000576,,,,,,,,
52,52,5ff1e1c80a720f052300056d,,,,,,,,
53,53,5ff1e1c80a720f052300056d,,,,,,,,
54,54,5f9c74f90a7214ad07000038,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,
55,55,5f9c74f90a7214ad07000038,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,
56,56,5f9c74f90a7214ad07000038,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,30.0
57,57,5f9c74f90a7214ad07000038,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,30.0
58,58,5f9c74f90a7214ad07000038,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,30.0
59,59,5ff1e1960a720f0523000567,,,,,,,,
60,60,5ff1e1ec0a7214ada100056c,,,,,,,,
61,61,5ff1e1d70a720f0523000571,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,,10.0
62,62,5ff1e1d70a720f0523000571,,,,5332f5f6e4b03c9a25efd0b4,NEXXUS HAIR CARE,5332f5f6e4b03c9a25efd0b4,,10.0
63,63,5ff1e1c60a7214ada100055e,,,,,,,,
64,64,5ff1e1c60a7214ada100055e,,,,,,,,
65,65,5ff1e1ee0a7214ada1000570,,,,,,,,
66,66,5ff1e1cf0a720f0523000570,,,,,,,,
67,67,5ff1e1cf0a720f0523000570,,,,,,,,
68,68,5ff1e1e10a720f0523000572,,,,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,,10.0
69,69,5ff1e1d40a7214ada1000562,,,,,,,,
70,70,5ff1e1d40a7214ada1000562,,,,,,,,
71,71,5ff1e1ee0a720f0523000578,,,,,,,,
72,72,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
73,73,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
74,74,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
75,75,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
76,76,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
77,77,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
78,78,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
79,79,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
80,80,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
81,81,5ff371030a7214ada10005a5,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,5.0
82,82,5ff36dcc0a720f05230005b1,,,,,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,,
83,83,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
84,84,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
85,85,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
86,86,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
87,87,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
88,88,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
89,89,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
90,90,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
91,91,5ff36c750a7214ada100058f,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,50.0
92,92,5ff36d860a720f05230005a7,,,,559c2234e4b06aca36af13c6,CLASSICO PESTO,559c2234e4b06aca36af13c6,,5.0
93,93,5ff36d9f0a720f05230005ab,,,,559c2234e4b06aca36af13c6,KOOL-AID BURSTS DRINK,559c2234e4b06aca36af13c6,,5.0
94,94,5ff36adb0a720f0523000590,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,50.0
95,95,5ff36adb0a720f0523000590,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,50.0
96,96,5ff36adb0a720f0523000590,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,50.0
97,97,5ff36adb0a720f0523000590,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,50.0
98,98,5ff36adb0a720f0523000590,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,50.0
99,99,5ff36da00a7214ada100059b,,,,,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,,
100,100,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
101,101,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
102,102,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
103,103,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
104,104,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
105,105,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
106,106,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
107,107,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
108,108,5ff36dc40a7214ada100059f,,,,,,559c2234e4b06aca36af13c6,,
109,109,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
110,110,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
111,111,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
112,112,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
113,113,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
114,114,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
115,115,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
116,116,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
117,117,5ff3710b0a7214ada10005a7,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,50.0
118,118,5ff36d780a7214ada1000593,,,,,SARGENTO SLICED NATURAL CHEESE 7OZ OR SMALLER,5e7cf838f221c312e698a628,,
