id,bonusPointsEarned,bonusPointsEarnedReason,pointsAwardedDate,pointsEarned,rewardsReceiptStatus,receiptId
0,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31,500.0,FINISHED,5ff1e1eb0a720f0523000575
1,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:43,150.0,FINISHED,5ff1e1bb0a720f052300056b
2,5.0,All-receipts receipt bonus,,5.0,REJECTED,5ff1e1f10a720f052300057a
3,5.0,All-receipts receipt bonus,2021-01-03 15:25:34,5.0,FINISHED,5ff1e1ee0a7214ada100056f
4,5.0,All-receipts receipt bonus,2021-01-03 15:25:06,5.0,FINISHED,5ff1e1d20a7214ada1000561
5,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:25,750.0,FINISHED,5ff1e1e40a7214ada1000566
6,5.0,All-receipts receipt bonus,2021-01-03 15:25:02,5.0,FINISHED,5ff1e1cd0a720f052300056f
7,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:21,500.0,FINISHED,5ff1e1a40a720f0523000569
8,5.0,All-receipts receipt bonus,2021-01-03 15:25:34,5.0,FINISHED,5ff1e1ed0a7214ada100056e
9,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:31,250.0,FINISHED,5ff1e1eb0a7214ada100056b
10,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:53,100.0,FINISHED,5ff1e1c50a720f052300056c
11,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:19,750.0,FINISHED,5ff1e1a10a720f0523000568
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",,8850.0,FLAGGED,5ff1e1b60a7214ada100055c
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 20:18:00,750.0,REJECTED,5f9c74f70a7214ad07000037
14,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:35,300.0,FINISHED,5ff1e1b20a7214ada100055a
15,,,,,FLAGGED,5ff1e1e90a7214ada1000569
16,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:19,750.0,FINISHED,5ff1e1df0a7214ada1000564
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:36,750.0,FLAGGED,5ff1e1b40a7214ada100055b
18,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:32,300.0,FINISHED,5ff1e1eb0a720f0523000576
19,5.0,All-receipts receipt bonus,2021-01-03 15:24:56,5.0,FINISHED,5ff1e1c80a720f052300056d
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:39:55,389.2,FINISHED,5f9c74f90a7214ad07000038
21,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:24:10,750.0,FINISHED,5ff1e1960a720f0523000567
22,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 15:25:32,150.0,FINISHED,5ff1e1ec0a7214ada100056c
23,40.0,COMPLETE_PARTNER_RECEIPT,2021-01-03 15:25:12,185.0,FINISHED,5ff1e1d70a720f0523000571
24,5.0,All-receipts receipt bonus,2021-01-03 15:24:54,5.0,FINISHED,5ff1e1c60a7214ada100055e
25,5.0,All-receipts receipt bonus,2021-01-03 15:25:35,5.0,FINISHED,5ff1e1ee0a7214ada1000570
26,5.0,All-receipts receipt bonus,2021-01-03 15:25:03,5.0,FINISHED,5ff1e1cf0a720f0523000570
27,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-03 15:25:21,35.0,FINISHED,5ff1e1e10a720f0523000572
28,,,,,REJECTED,5ff1e1d40a7214ada1000562
29,5.0,All-receipts receipt bonus,2021-01-03 15:25:34,5.0,FINISHED,5ff1e1ee0a720f0523000578
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:20,650.0,FINISHED,5ff371030a7214ada10005a5
31,5.0,All-receipts receipt bonus,2021-01-04 19:34:36,55.0,FINISHED,5ff36dcc0a720f05230005b1
32,,,2021-01-04 19:28:54,500.0,FINISHED,5ff36c750a7214ada100058f
33,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04 19:33:26,50.0,FINISHED,5ff36d860a720f05230005a7
34,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04 19:33:51,50.0,FINISHED,5ff36d9f0a720f05230005ab
35,,,2021-01-04 19:22:04,250.0,FINISHED,5ff36adb0a720f0523000590
36,5.0,All-receipts receipt bonus,2021-01-04 19:33:52,5.0,FINISHED,5ff36da00a7214ada100059b
37,5.0,All-receipts receipt bonus,2021-01-04 19:34:28,355.0,FINISHED,5ff36dc40a7214ada100059f
38,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:48:28,600.0,FINISHED,5ff3710b0a7214ada10005a7
39,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:33:14,1750.0,FINISHED,5ff36d780a7214ada1000593
40,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-04 19:49:21,350.0,FINISHED,5ff371410a7214ada10005ba
41,5.0,All-receipts receipt bonus,2021-01-04 19:29:17,5.0,FINISHED,5ff36c8b0a720f05230005a1
42,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-04 19:28:21,750.0,FINISHED,5ff36c550a7214ada1000588
43,5.0,All-receipts receipt bonus,2021-01-04 19:21:48,55.0,FINISHED,5ff36acb0a720f052300058d
44,5.0,All-receipts receipt bonus,2021-01-04 19:49:26,5.0,FINISHED,5ff371450a7214ada10005bd
